B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.04361711,0.06475337,0.049569964,0.29144704,0.20123039,0.10529393,0.70928156,0.18311505,0.46920568,-0.14382814,0.4792536,1270.0,26.91191,0.06518582,0.99666965,1
0.043264363,0.06435706,0.047887795,0.29566672,0.1998209,0.10352339,0.72122157,0.19343735,0.4813329,-0.15549983,0.4922066,948.0,22.338581,0.6159486,0.7490368,1
0.04205375,0.06351176,0.048855104,0.28599378,0.19698218,0.10366888,0.7081961,0.18429822,0.46790445,-0.1432522,0.46912774,1391.0,26.815163,-0.593544,-0.7887787,1
0.04109437,0.06071404,0.064605966,0.2301008,0.20266134,0.1268705,0.56155765,0.06340541,0.28918374,-0.0072945924,0.31594348,546.0,19.156277,0.9749591,-0.02629191,1
0.039914034,0.05951527,0.06323558,0.22929116,0.19941846,0.12543657,0.5676595,0.069680505,0.29277265,-0.012317458,0.31705743,461.0,17.585073,-0.9260131,-0.3275341,0
0.040187195,0.060653426,0.059955038,0.24047303,0.19789259,0.11923603,0.60086924,0.09713453,0.33704183,-0.042362608,0.3474709,644.0,24.677864,0.6983792,-0.7141517,1
0.039811842,0.06024268,0.059770674,0.23939602,0.19698781,0.11914996,0.6004189,0.09718099,0.33537138,-0.041885804,0.34558454,697.0,29.103598,-0.28153807,0.9579759,1
0.04298478,0.06434485,0.05217464,0.2790841,0.20050582,0.107668005,0.6849916,0.1638447,0.44321954,-0.12072812,0.44676146,749.0,35.554836,-0.82070804,0.56984764,1
0.042468823,0.06387657,0.053147018,0.27320638,0.19962269,0.108673535,0.67429775,0.1556243,0.4308497,-0.11066243,0.43197265,576.0,20.43871,-0.46554834,0.8290993,1
0.046114005,0.06735672,0.05829712,0.27290532,0.21022089,0.11477534,0.64796686,0.12974752,0.40788722,-0.08595423,0.4201963,600.0,33.56523,0.65670794,-0.75167733,1
0.04304426,0.06431796,0.049673487,0.28815317,0.19979103,0.1050595,0.7059232,0.18109067,0.46563524,-0.14075817,0.47191474,1141.0,29.054098,0.6872985,-0.72439,1
0.044095848,0.064893715,0.06266472,0.24902035,0.20765221,0.121136606,0.59789723,0.090586,0.34548518,-0.04046491,0.3599573,487.0,21.55005,-0.26200214,-0.9614126,1
0.045561746,0.06653405,0.06385996,0.25152367,0.21132678,0.121911705,0.5950331,0.086846404,0.34708005,-0.038266197,0.36285385,344.0,21.269873,0.61461985,-0.7862006,1
0.041277036,0.060941573,0.06466846,0.23067284,0.20306192,0.1268032,0.5620764,0.06365852,0.2905639,-0.007818495,0.31701863,340.0,21.11468,0.58847183,-0.7946145,1
0.040900867,0.06258198,0.046858054,0.28707576,0.19330902,0.10083626,0.71935725,0.19519089,0.48010758,-0.15455517,0.47606793,673.0,21.485754,-0.5823402,-0.81020904,1
0.04193736,0.06337481,0.047601573,0.2898103,0.19625974,0.10230653,0.71784294,0.19246313,0.47818342,-0.15268412,0.48023382,1267.0,27.163443,0.7705623,0.6239353,1
0.038983118,0.059652004,0.05800735,0.24117674,0.19414084,0.11652071,0.6122297,0.10804963,0.34849572,-0.05262305,0.35310513,728.0,24.126244,-0.6079813,-0.79153955,1
0.039610837,0.059807826,0.060594525,0.23599014,0.19708082,0.12076252,0.59138465,0.08984513,0.3229902,-0.033614144,0.33665806,455.0,22.767107,0.15536973,-0.9842287,1
0.04321298,0.06454415,0.05227254,0.27987215,0.20110424,0.107846774,0.68524235,0.16376668,0.4436858,-0.12092447,0.44823894,737.0,21.208776,0.08993971,-0.99575573,1
0.04190346,0.063334964,0.047294866,0.29072005,0.19607136,0.101976134,0.7201611,0.19443378,0.48063597,-0.15496331,0.4829047,550.0,21.336397,0.2814474,0.95064247,1
0.043131147,0.06440164,0.049978066,0.28751642,0.20011158,0.10540998,0.7038288,0.1792449,0.46346197,-0.13871664,0.4698515,1255.0,31.5406,0.8885267,-0.4581982,1
